x1	x2	x3	x4	x5	x6	x7	x8
0.0	0.5646	0.0099	0.0099	0.162	0.162	0.009	0.0826
0.0	0.8713	0.0009	0.0009	0.0549	0.0549	0.0005	0.0166
0.0	0.8713	0.0009	0.0009	0.0549	0.0549	0.0005	0.0166
0.0	0.4614	0.0183	0.0183	0.1863	0.1863	0.0187	0.1107
0.0	0.6997	0.0043	0.0043	0.1191	0.1191	0.0033	0.0503
0.0	0.6997	0.0043	0.0043	0.1191	0.1191	0.0033	0.0503
0.0	0.7375	0.0033	0.0033	0.1057	0.1057	0.0024	0.0421
0.0	0.7375	0.0033	0.0033	0.1057	0.1057	0.0024	0.0421
0.0	0.3431	0.0414	0.0414	0.1935	0.1935	0.046	0.1411
0.0	0.009	0.5807	0.009	0.1574	0.0081	0.1574	0.0785
0.0	0.009	0.5807	0.009	0.1574	0.0081	0.1574	0.0785
0.0	0.0059	0.6518	0.0059	0.1353	0.0048	0.1353	0.0611
0.0	0.0059	0.6518	0.0059	0.1353	0.0048	0.1353	0.0611
0.0	0.0075	0.6114	0.0075	0.1482	0.0065	0.1482	0.0708
0.0	0.0291	0.3906	0.0291	0.1946	0.0316	0.1946	0.1303
0.0	0.8955	0.0006	0.0006	0.0451	0.0451	0.0003	0.0126
0.0	0.8955	0.0006	0.0006	0.0451	0.0451	0.0003	0.0126
0.0	0.8687	0.0009	0.0009	0.0559	0.0559	0.0005	0.0171
0.0	0.7632	0.0027	0.0027	0.0964	0.0964	0.0018	0.0368
0.0	0.8222	0.0016	0.0016	0.0741	0.0741	0.001	0.0254
0.0	0.8222	0.0016	0.0016	0.0741	0.0741	0.001	0.0254
0.0	0.3742	0.0328	0.0328	0.1949	0.1949	0.0359	0.1344
0.0	0.3015	0.0571	0.0571	0.1872	0.1872	0.0633	0.1467
0.0	0.3317	0.0452	0.0452	0.1922	0.1922	0.0503	0.1431
0.0	0.3871	0.0299	0.0299	0.1947	0.1947	0.0325	0.1312
0.0	0.3871	0.0299	0.0299	0.1947	0.1947	0.0325	0.1312
0.0	0.3737	0.0329	0.0329	0.1949	0.1949	0.0361	0.1346
0.0	0.0272	0.4004	0.0272	0.1941	0.0293	0.1941	0.1277
0.0	0.0272	0.4004	0.0272	0.1941	0.0293	0.1941	0.1277
0.0	0.5364	0.0117	0.0117	0.1696	0.1696	0.011	0.09
0.0	0.5364	0.0117	0.0117	0.1696	0.1696	0.011	0.09
0.0	0.0817	0.2494	0.0817	0.1749	0.089	0.1749	0.1485
0.0	0.3145	0.0517	0.0517	0.1896	0.1896	0.0574	0.1454
0.0	0.4105	0.0254	0.0254	0.1933	0.1933	0.0272	0.125
0.0	0.0254	0.0254	0.4105	0.0272	0.1933	0.1933	0.125
0.0	0.3334	0.0446	0.0446	0.1924	0.1924	0.0496	0.1428
0.0	0.0446	0.3334	0.0446	0.1924	0.0496	0.1924	0.1428
0.0	0.001	0.0817	0.0817	0.0173	0.0173	0.7111	0.0899
0.0	0.0053	0.0053	0.6671	0.0043	0.1302	0.1302	0.0576
0.0	0.038	0.038	0.3542	0.0421	0.1943	0.1943	0.1389
0.0	0.0068	0.6274	0.0068	0.1432	0.0057	0.1432	0.0669
0.0	0.0068	0.0068	0.6274	0.0057	0.1432	0.1432	0.0669
