d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6	Julia_sum_lq_GFv6a	rootstates_lnL_GFv6a	Julia_total_lnLs1_GFv6a	bgb_lnl_GFv6a
0.0001	1.0	0.1	0.3	0.0	-131.62724700257192	-10.75151687749193	-142.37876388006384	-104.02683951652006	-130.37926750744055	-10.8224674720314	-141.20173497947195	-103.6931121819191	-131.62807592272162	-10.751257093747693	-142.3793330164693	-104.02743142800972
0.0001	1.0	0.1	0.3	0.5	-145.24205341729242	-9.97945467135186	-155.22150808864427	-116.8188184650063	-145.51554688319982	-10.213907694832947	-155.72945457803277	-117.1332201936223	-145.56403827401311	-10.570602336165317	-156.13464061017842	-117.7537985349139
0.0001	1.0	0.1	0.3	1.0	-165.44456934377493	-9.83467084229433	-175.27924018606927	-136.86346992354302	-165.5779501208199	-9.46065638739004	-175.03860650820994	-136.7707181673632	-165.8158253607691	-10.299175267271933	-176.11500062804103	-137.76223078215108
0.0001	1.0	1.0	0.3	0.0	-131.62724700257297	-10.751516877491579	-142.37876388006455	-104.02683951652051	-130.37926750744055	-10.8224674720314	-141.20173497947195	-103.6931121819191	-131.62807592272162	-10.751257093747693	-142.3793330164693	-104.02743142800972
0.0001	1.0	1.0	0.3	0.5	-145.2420534172925	-9.979454671351812	-155.22150808864433	-116.81881846500633	-145.51554688294772	-10.213907695780257	-155.72945457872797	-117.13322019425331	-145.56403827401314	-10.570602336165281	-156.13464061017842	-117.75379853491387
0.0001	1.0	1.0	0.3	1.0	-165.44456934377354	-9.834670842294987	-175.27924018606853	-136.86346992354248	-165.57795015829242	-9.460656395296652	-175.0386065535891	-136.7707182098772	-165.81582536076888	-10.29917526726658	-176.11500062803546	-137.76223078214304
0.5	0.0	0.0	0.3	0.0	-127.75534619908501	-2.929023866131349	-130.68437006521637	-93.01860705437718	-127.75269560647901	-2.9468871648637074	-130.6995827713427	-93.0289402341061	-127.75956807300827	-2.928810400408352	-130.6883784734166	-93.02268306469128
0.5	0.0	0.0	0.3	0.5	-115.65598395150526	-6.573589643708202	-122.22957359521347	-82.52954034158088	-115.66320301052278	-6.573779906301408	-122.23698291682419	-82.53696930998686	-108.39533038566718	-6.448006823898671	-114.84333720956585	-75.2352349223076
0.5	0.0	0.0	0.3	1.0	-129.7750579457312	-6.596020406815994	-136.3710783525472	-96.65738388649083	-129.77406649488555	-6.595165484007769	-136.3692319788933	-96.65558801020765	-120.93101699393685	-6.612068519073512	-127.54308551301037	-87.8180662476145
0.5	0.0	0.1	0.3	0.0	-127.75534619908501	-2.9290238661313515	-130.68437006521637	-93.01860705437718	-127.75269560647901	-2.946887164863708	-130.6995827713427	-93.0289402341061	-127.75956807300827	-2.9288104004083526	-130.68837847341663	-93.02268306469128
