d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6
0.0	0.5	0.0	0.3	0.5	-7.977964055383246	-3.3659575679554954	-11.34392162333874	-7.12504579847054	-7.977881905130886	-3.3659428408524943	-11.34382474598338	-7.1249489211151795
0.0	0.5	0.0	0.3	1.0	-10.057045479311997	-3.3713027338069685	-13.428348213118966	-9.209472388250767	-10.057319417922733	-3.37132817342803	-13.428647591350762	-9.209771766482561
0.0	0.5	0.1	0.3	0.0	-6.136320047809255	-3.3550416558641487	-9.491361703673403	-5.2724858788052025	-6.136502892850087	-3.3550401072073766	-9.491543000057463	-5.272667175189262
0.0	0.5	0.1	0.3	0.5	-7.9779601086471486	-3.3659456563765584	-11.343905765023706	-7.125029940155506	-7.977873475142278	-3.3659425528323603	-11.343816027974638	-7.124940203106438
0.0	0.5	0.1	0.3	1.0	-10.057055240342898	-3.371309304663314	-13.428364545006211	-9.209488720138012	-10.057283596701309	-3.371325350609628	-13.428608947310938	-9.209733122442739
0.0	0.5	1.0	0.3	0.0	-6.136320047809255	-3.3550416558641487	-9.491361703673403	-5.2724858788052025	-6.1365028928500855	-3.3550401072073766	-9.491543000057462	-5.272667175189261
0.0	0.5	1.0	0.3	0.5	-7.977962133741265	-3.365949134950609	-11.343911268691874	-7.125035443823674	-7.977861480558582	-3.3659421447484155	-11.343803625306997	-7.124927800438797
0.0	0.5	1.0	0.3	1.0	-10.057036608759264	-3.371309536003696	-13.42834614476296	-9.20947031989476	-10.056717773081232	-3.3713099487850697	-13.428027721866302	-9.209151896998101
0.0	1.0	0.0	0.3	0.0	-8.096427853526905	-3.395072387551137	-11.491500241078041	-7.272624416209841	-8.096005185586941	-3.3950710701061686	-11.491076255693109	-7.272200430824909
0.0	1.0	0.0	0.3	0.5	-9.947429317334684	-3.3964964891921907	-13.343925806526876	-9.125049981658677	-9.946612949210717	-3.3964948790018665	-13.343107828212585	-9.124232003344385
0.0	1.0	0.0	0.3	1.0	-12.03116265014007	-3.3972010292008132	-15.428363679340883	-11.209487854472684	-12.028342293520357	-3.3971944822975155	-15.425536775817871	-11.206660950949672
0.0	1.0	0.1	0.3	0.0	-8.096427853526901	-3.39507238755114	-11.491500241078041	-7.272624416209841	-8.096005185586879	-3.395071070106168	-11.491076255693047	-7.272200430824847
0.0	1.0	0.1	0.3	0.5	-9.94743115247175	-3.3964966407713186	-13.343927793243068	-9.12505196837487	-9.94662056939508	-3.396494915139721	-13.3431154845348	-9.1242396596666
0.0	1.0	0.1	0.3	1.0	-12.03116319754068	-3.3972011922943492	-15.428364389835028	-11.20948856496683	-12.028204834877318	-3.397193938885742	-15.42539877376306	-11.206522948894861
0.0	1.0	1.0	0.3	0.0	-8.096427853526905	-3.395072387551137	-11.491500241078041	-7.272624416209841	-8.096005185586941	-3.3950710701061686	-11.491076255693109	-7.272200430824909
0.0	1.0	1.0	0.3	0.5	-9.947431072516926	-3.3964965649323005	-13.343927637449227	-9.125051812581027	-9.946640749250644	-3.396495010851687	-13.343135760102331	-9.124259935234132
0.0	1.0	1.0	0.3	1.0	-12.031148656935036	-3.397198762478993	-15.42834741941403	-11.209471594545828	-12.027857436520232	-3.3971925639767715	-15.425050000497004	-11.206174175628803
0.5	0.0	0.0	0.3	0.0	-4.629096506962968	-2.0123723608465434	-6.641468867809511	-2.14620835948484	-4.62916336174284	-2.0123949850913054	-6.641558346834145	-2.146288963273424
0.5	0.0	0.0	0.3	0.5	-5.97652781110985	-2.249374694983119	-8.22590250609297	-3.637497033818633	-5.976439893274524	-2.2493573317841316	-8.225797225058656	-3.6374011752934123
0.5	0.0	0.0	0.3	1.0	-7.7868564419123505	-2.3563038494966344	-10.143160291408986	-5.508379783483025	-7.7868609271557165	-2.3563170570576903	-10.143177984213407	-5.508391284287476
0.5	0.0	0.1	0.3	0.0	-4.629097378703584	-2.280431397718801	-6.909528776422385	-2.2885536784472116	-4.629163361742821	-2.2804609635776174	-6.909624325320438	-2.2886313473367315
0.5	0.0	0.1	0.3	0.5	-5.976450774271676	-2.5728223875113767	-8.549273161783052	-3.778658687669818	-5.97644093346417	-2.57283431537236	-8.54927524883653	-3.7786536500314067
