d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6
0.0	0.5	0.0	0.3	0.5	-7.977964055383242	-3.3659575679554927	-11.343921623338735	-7.125045798470535	-7.977881905130888	-3.3659428408524943	-11.343824745983381	-7.124948921115181
0.0	0.5	0.0	0.3	1.0	-10.057045479312025	-3.371302733806968	-13.428348213118994	-9.209472388250795	-10.057319417922573	-3.3713281734280263	-13.428647591350598	-9.209771766482397
0.0	0.5	0.1	0.3	0.0	-6.136320047809255	-3.3550416558641487	-9.491361703673403	-5.2724858788052025	-6.1365028928500855	-3.3550401072073766	-9.491543000057462	-5.272667175189261
0.0	0.5	0.1	0.3	0.5	-7.977960108647149	-3.36594565637656	-11.34390576502371	-7.1250299401555095	-7.977873475142332	-3.365942552832362	-11.343816027974695	-7.124940203106495
0.0	0.5	0.1	0.3	1.0	-10.057055240342986	-3.3713093046633147	-13.428364545006302	-9.2094887201381	-10.057283596701325	-3.371325350609628	-13.428608947310952	-9.209733122442753
0.0	0.5	1.0	0.3	0.0	-6.136320047809255	-3.3550416558641487	-9.491361703673403	-5.2724858788052025	-6.1365028928500855	-3.3550401072073766	-9.491543000057462	-5.272667175189261
0.0	0.5	1.0	0.3	0.5	-7.977962133741258	-3.3659491349506085	-11.343911268691866	-7.125035443823665	-7.977861480558541	-3.365942144748414	-11.343803625306956	-7.124927800438756
0.0	0.5	1.0	0.3	1.0	-10.057036608759244	-3.3713095360036993	-13.428346144762944	-9.209470319894745	-10.056717773081546	-3.3713099487850786	-13.428027721866625	-9.209151896998424
0.0	1.0	0.0	0.3	0.0	-8.096427853526905	-3.395072387551137	-11.491500241078041	-7.272624416209841	-8.096005185586941	-3.3950710701061686	-11.491076255693109	-7.272200430824909
0.0	1.0	0.0	0.3	0.5	-9.947429317334684	-3.3964964891921907	-13.343925806526876	-9.125049981658677	-9.946612949210177	-3.3964948790018634	-13.343107828212041	-9.124232003343842
0.0	1.0	0.0	0.3	1.0	-12.031162650140041	-3.397201029200813	-15.428363679340855	-11.209487854472655	-12.028342293521096	-3.3971944822975186	-15.425536775818614	-11.206660950950415
0.0	1.0	0.1	0.3	0.0	-8.096427853526905	-3.3950723875511364	-11.491500241078041	-7.272624416209841	-8.096005185586941	-3.395071070106168	-11.491076255693109	-7.272200430824909
0.0	1.0	0.1	0.3	0.5	-9.947431152471745	-3.396496640771318	-13.343927793243063	-9.125051968374862	-9.946620569395273	-3.3964949151397215	-13.343115484534994	-9.124239659666795
0.0	1.0	0.1	0.3	1.0	-12.031163197540641	-3.3972011922943497	-15.428364389834991	-11.20948856496679	-12.02820483487843	-3.3971939388857466	-15.425398773764176	-11.206522948895977
0.0	1.0	1.0	0.3	0.0	-8.096427853526905	-3.395072387551137	-11.491500241078041	-7.272624416209841	-8.096005185586941	-3.3950710701061686	-11.491076255693109	-7.272200430824909
0.0	1.0	1.0	0.3	0.5	-9.9474310725169	-3.396496564932301	-13.343927637449202	-9.125051812581003	-9.946640749251113	-3.396495010851689	-13.343135760102802	-9.124259935234601
0.0	1.0	1.0	0.3	1.0	-12.031148656935015	-3.3971987624789945	-15.42834741941401	-11.20947159454581	-12.027857436518053	-3.397192563976763	-15.425050000494815	-11.206174175626614
0.5	0.0	0.0	0.3	0.0	-4.629096506962968	-2.0123723608465434	-6.641468867809511	-2.14620835948484	-4.62916336174284	-2.0123949850913054	-6.641558346834145	-2.146288963273424
